,Skewness,Absolute Skewness
warranty_claim_90d,8.777002232417956,8.777002232417956
scrap,6.1122188048231,6.1122188048231
cost_usd,4.41454872357349,4.41454872357349
defect_severity_0to3,2.4947010008149,2.4947010008149
rework_time_min,2.4306320477780283,2.4306320477780283
final_pass,-2.2834209825442926,2.2834209825442926
total_cycle_time_min,1.8802182841150388,1.8802182841150388
energy_kwh,1.2196979589860142,1.2196979589860142
decision_rework,1.1960748101534804,1.1960748101534804
temp_c,0.36125811243718964,0.36125811243718964
machine_age_yrs,0.1115306425783148,0.1115306425783148
humidity_pct,-0.08925100790878632,0.08925100790878632
process_speed_units_hr,0.061095620271895947,0.061095620271895947
