,count,mean,std,min,25%,50%,75%,max,Skewness,Unique Values
machine_age_yrs,10000.0,6.04,2.93,0.2,3.97,6.07,8.04,17.98,0.11,1307
temp_c,10000.0,12.63,4.36,5.0,9.3,12.2,15.8,28.1,0.36,211
humidity_pct,10000.0,52.14,12.58,18.2,41.9,52.8,62.3,86.7,-0.09,600
process_speed_units_hr,10000.0,121.87,25.06,60.0,104.9,121.5,139.1,190.0,0.06,1183
defect_severity_0to3,10000.0,0.29,0.73,0.0,0.0,0.0,0.0,3.0,2.49,4
decision_rework,10000.0,0.24,0.43,0.0,0.0,0.0,0.0,1.0,1.2,2
rework_time_min,10000.0,4.85,10.97,0.0,0.0,0.0,0.0,60.0,2.43,513
final_pass,10000.0,0.88,0.33,0.0,1.0,1.0,1.0,1.0,-2.28,2
scrap,10000.0,0.02,0.16,0.0,0.0,0.0,0.0,1.0,6.11,2
total_cycle_time_min,10000.0,34.52,12.1,12.4,27.3,31.3,36.6,97.6,1.88,675
energy_kwh,10000.0,1.42,0.21,0.9,1.28,1.38,1.51,2.49,1.22,1133
cost_usd,10000.0,29.04,17.23,10.51,21.63,24.85,29.15,164.31,4.41,3009
warranty_claim_90d,10000.0,0.01,0.11,0.0,0.0,0.0,0.0,1.0,8.78,2
