Feature,Q1,Q3,IQR,Lower Bound,Upper Bound,Outlier Count,Outlier Percentage
machine_age_yrs,3.97,8.04,4.07,-2.13,14.14,38,0.38
temp_c,9.3,15.8,6.5,-0.45,25.55,8,0.08
humidity_pct,41.9,62.3,20.4,11.3,92.9,0,0.0
process_speed_units_hr,104.9,139.1,34.2,53.6,190.4,0,0.0
defect_severity_0to3,0.0,0.0,0.0,0.0,0.0,1597,15.97
decision_rework,0.0,0.0,0.0,0.0,0.0,2434,24.34
rework_time_min,0.0,0.0,0.0,0.0,0.0,2335,23.35
final_pass,1.0,1.0,0.0,1.0,1.0,1239,12.39
scrap,0.0,0.0,0.0,0.0,0.0,248,2.48
total_cycle_time_min,27.3,36.6,9.3,13.35,50.55,1042,10.42
energy_kwh,1.28,1.51,0.23,0.95,1.85,593,5.93
cost_usd,21.63,29.15,7.52,10.35,40.43,1047,10.47
warranty_claim_90d,0.0,0.0,0.0,0.0,0.0,125,1.25
