plant,shift,material_grade,Final Pass Rate
plant_1,night,grade_C,80.59701492537313
plant_3,night,grade_B,83.84615384615385
plant_2,swing,grade_C,85.24590163934425
plant_3,night,grade_A,85.57213930348259
plant_1,day,grade_C,85.79881656804734
plant_3,day,grade_A,85.97560975609755
plant_3,day,grade_C,86.53846153846155
plant_1,swing,grade_A,86.60220994475138
plant_1,night,grade_B,86.74698795180723
plant_2,day,grade_C,86.86131386861314
plant_3,swing,grade_B,86.95652173913044
plant_2,night,grade_C,86.95652173913044
plant_2,night,grade_B,87.06896551724138
plant_1,day,grade_B,87.25490196078431
plant_1,swing,grade_B,87.47553816046967
plant_1,swing,grade_C,87.61904761904762
plant_2,night,grade_A,87.86982248520711
plant_3,day,grade_B,87.95180722891565
plant_2,day,grade_B,88.19444444444444
plant_2,swing,grade_B,88.30845771144278
plant_2,swing,grade_A,88.36805555555556
plant_1,night,grade_A,88.49765258215963
plant_3,swing,grade_A,88.78504672897196
plant_2,day,grade_A,88.83553421368548
plant_1,day,grade_A,89.53271028037383
plant_3,night,grade_C,89.83050847457628
plant_3,swing,grade_C,93.4065934065934
