Feature 1,Feature 2,Correlation,Absolute Correlation
rework_time_min,total_cycle_time_min,0.9179110817509423,0.9179110817509423
total_cycle_time_min,energy_kwh,0.8989636697474632,0.8989636697474632
scrap,cost_usd,0.8505485997925752,0.8505485997925752
defect_severity_0to3,rework_time_min,0.8387058357854961,0.8387058357854961
rework_time_min,energy_kwh,0.79198179332144,0.79198179332144
decision_rework,rework_time_min,0.7797658957013432,0.7797658957013432
defect_severity_0to3,total_cycle_time_min,0.7783011972137068,0.7783011972137068
total_cycle_time_min,cost_usd,0.7414326204583268,0.7414326204583268
defect_severity_0to3,cost_usd,0.7317812852833356,0.7317812852833356
rework_time_min,cost_usd,0.7178074086964918,0.7178074086964918
decision_rework,total_cycle_time_min,0.7157634583835382,0.7157634583835382
defect_severity_0to3,energy_kwh,0.6805992236081772,0.6805992236081772
energy_kwh,cost_usd,0.6625577768064046,0.6625577768064046
decision_rework,energy_kwh,0.6138343825853507,0.6138343825853507
defect_severity_0to3,decision_rework,0.5436970345844396,0.5436970345844396
decision_rework,cost_usd,0.5053374446352907,0.5053374446352907
defect_severity_0to3,scrap,0.46760492804689063,0.46760492804689063
process_speed_units_hr,energy_kwh,0.4288985668911524,0.4288985668911524
final_pass,scrap,-0.4240530401080291,0.4240530401080291
final_pass,cost_usd,-0.37946862900242523,0.37946862900242523
rework_time_min,scrap,0.3429442130701825,0.3429442130701825
scrap,total_cycle_time_min,0.32161290388030556,0.32161290388030556
defect_severity_0to3,final_pass,-0.29406632954877276,0.29406632954877276
scrap,energy_kwh,0.2808115469937564,0.2808115469937564
process_speed_units_hr,total_cycle_time_min,0.2310700028394976,0.2310700028394976
decision_rework,scrap,0.1957489276103431,0.1957489276103431
rework_time_min,final_pass,-0.18587197469687203,0.18587197469687203
final_pass,total_cycle_time_min,-0.1744457866368547,0.1744457866368547
final_pass,energy_kwh,-0.15376966179831322,0.15376966179831322
process_speed_units_hr,cost_usd,0.14956152654376706,0.14956152654376706
final_pass,warranty_claim_90d,-0.11340777674920663,0.11340777674920663
temp_c,humidity_pct,0.11078140367330526,0.11078140367330526
scrap,warranty_claim_90d,0.10938696148262747,0.10938696148262747
process_speed_units_hr,defect_severity_0to3,0.08266409338247421,0.08266409338247421
machine_age_yrs,defect_severity_0to3,0.07803973745308145,0.07803973745308145
cost_usd,warranty_claim_90d,0.07792557023208845,0.07792557023208845
defect_severity_0to3,warranty_claim_90d,0.07675261957680399,0.07675261957680399
machine_age_yrs,final_pass,-0.07209878671049633,0.07209878671049633
machine_age_yrs,cost_usd,0.07156962732856922,0.07156962732856922
machine_age_yrs,rework_time_min,0.07094769308837143,0.07094769308837143
decision_rework,final_pass,-0.07032344440464136,0.07032344440464136
machine_age_yrs,total_cycle_time_min,0.06818122386101196,0.06818122386101196
process_speed_units_hr,rework_time_min,0.06341801324876105,0.06341801324876105
machine_age_yrs,energy_kwh,0.059841928623476086,0.059841928623476086
machine_age_yrs,decision_rework,0.0520252495580638,0.0520252495580638
machine_age_yrs,scrap,0.04955939172331647,0.04955939172331647
process_speed_units_hr,scrap,0.0352418230110715,0.0352418230110715
process_speed_units_hr,final_pass,-0.03371732454532613,0.03371732454532613
humidity_pct,defect_severity_0to3,0.03173876230630967,0.03173876230630967
process_speed_units_hr,decision_rework,0.03104450786570952,0.03104450786570952
humidity_pct,rework_time_min,0.030492552516859377,0.030492552516859377
humidity_pct,decision_rework,0.02917234014119044,0.02917234014119044
humidity_pct,energy_kwh,0.027959412582363997,0.027959412582363997
process_speed_units_hr,warranty_claim_90d,-0.024284220409610806,0.024284220409610806
humidity_pct,total_cycle_time_min,0.023109064641448022,0.023109064641448022
humidity_pct,process_speed_units_hr,0.020723816699195444,0.020723816699195444
humidity_pct,cost_usd,0.015340024151922803,0.015340024151922803
temp_c,warranty_claim_90d,0.014912019590426215,0.014912019590426215
temp_c,total_cycle_time_min,0.01403050465608542,0.01403050465608542
temp_c,rework_time_min,0.01366060098492533,0.01366060098492533
temp_c,decision_rework,0.013528039215012416,0.013528039215012416
decision_rework,warranty_claim_90d,-0.01347584844017839,0.01347584844017839
temp_c,defect_severity_0to3,0.012786935265950114,0.012786935265950114
rework_time_min,warranty_claim_90d,0.012094729289320023,0.012094729289320023
total_cycle_time_min,warranty_claim_90d,0.011778175332155274,0.011778175332155274
machine_age_yrs,process_speed_units_hr,0.011728831985440355,0.011728831985440355
temp_c,process_speed_units_hr,0.011332270550869128,0.011332270550869128
humidity_pct,warranty_claim_90d,-0.010816064294227228,0.010816064294227228
humidity_pct,final_pass,0.009760084061797417,0.009760084061797417
temp_c,energy_kwh,0.008710096534404108,0.008710096534404108
temp_c,final_pass,-0.0077832394358943475,0.0077832394358943475
temp_c,cost_usd,0.006982586174917616,0.006982586174917616
humidity_pct,scrap,0.005283640190303914,0.005283640190303914
machine_age_yrs,warranty_claim_90d,0.005229754698172536,0.005229754698172536
temp_c,scrap,-0.004615272211235331,0.004615272211235331
machine_age_yrs,humidity_pct,-0.004187341013512296,0.004187341013512296
energy_kwh,warranty_claim_90d,0.0033747030348575137,0.0033747030348575137
machine_age_yrs,temp_c,0.0011630174631662208,0.0011630174631662208
