feature,feature_group,observations,mean_feature_value,mean_predicted_probability,actual_minority_rate
numerical__cost_usd,"(-1.057, -0.584]",200,-0.6968728460213403,0.588072239383278,0.92
numerical__cost_usd,"(-0.584, -0.475]",201,-0.5294507694085266,0.5918866150731357,0.9104477611940298
numerical__cost_usd,"(-0.475, -0.39]",199,-0.4312084451285741,0.6004855158282839,0.8743718592964824
numerical__cost_usd,"(-0.39, -0.32]",202,-0.3568385336974786,0.6047605094460963,0.8910891089108911
numerical__cost_usd,"(-0.32, -0.249]",198,-0.28681436287306017,0.6089008779911,0.8939393939393939
numerical__cost_usd,"(-0.249, -0.171]",200,-0.21099529677644077,0.6221195836882627,0.9
numerical__cost_usd,"(-0.171, -0.0692]",200,-0.1268735367571807,0.6381443113020766,0.945
numerical__cost_usd,"(-0.0692, 0.0989]",200,0.005354998207187426,0.6482665413200275,0.9
numerical__cost_usd,"(0.0989, 0.729]",200,0.3455488608747192,0.6838118415427491,0.91
numerical__cost_usd,"(0.729, 7.268]",200,2.3147873908146823,0.38415674937488,0.615
numerical__defect_severity_0to3,-0.4004164307185325,1692,-0.4004164307185325,0.6269660334718821,0.9148936170212766
numerical__defect_severity_0to3,0.9720477705446467,107,0.9720477705446466,0.5654731486504783,0.7570093457943925
numerical__defect_severity_0to3,2.344511971807826,150,2.344511971807826,0.39522474218105963,0.68
numerical__defect_severity_0to3,3.716976173071005,51,3.716976173071005,0.26447471539114137,0.4117647058823529
numerical__energy_kwh,"(-2.344, -1.023]",200,-1.3552980271973596,0.5985146346927187,0.915
numerical__energy_kwh,"(-1.023, -0.766]",206,-0.8861709835701401,0.5953639557237944,0.8980582524271845
numerical__energy_kwh,"(-0.766, -0.56]",197,-0.6517654037620919,0.5998011132804812,0.8984771573604061
numerical__energy_kwh,"(-0.56, -0.38]",197,-0.47047516953063023,0.6010382943783042,0.934010152284264
numerical__energy_kwh,"(-0.38, -0.201]",201,-0.2904501521931622,0.6046390201971076,0.8557213930348259
numerical__energy_kwh,"(-0.201, -0.000381]",202,-0.08952176860951479,0.6131793518935897,0.8613861386138614
numerical__energy_kwh,"(-0.000381, 0.256]",198,0.12860621919104664,0.6327577142355847,0.9141414141414141
numerical__energy_kwh,"(0.256, 0.592]",201,0.4095054576773849,0.6488628435158669,0.9104477611940298
numerical__energy_kwh,"(0.592, 1.316]",199,0.8880711632783064,0.6410493872463067,0.8844221105527639
numerical__energy_kwh,"(1.316, 4.471]",199,2.222004137195941,0.4347731309358437,0.6884422110552764
numerical__total_cycle_time_min,"(-1.6609999999999998, -0.861]",201,-1.0488996475193715,0.5898531152458062,0.9054726368159204
numerical__total_cycle_time_min,"(-0.861, -0.68]",201,-0.7606686720874128,0.5892152129015714,0.9502487562189055
numerical__total_cycle_time_min,"(-0.68, -0.532]",202,-0.598053967178598,0.6006076986551369,0.8960396039603961
numerical__total_cycle_time_min,"(-0.532, -0.4]",208,-0.46038729865643757,0.5929098439894435,0.8990384615384616
numerical__total_cycle_time_min,"(-0.4, -0.277]",201,-0.33145649033542995,0.6137280652775601,0.8606965174129353
numerical__total_cycle_time_min,"(-0.277, -0.145]",196,-0.20806480264579436,0.6017530902794922,0.8622448979591837
numerical__total_cycle_time_min,"(-0.145, 0.0197]",195,-0.062393639036401854,0.6276952104731771,0.8923076923076924
numerical__total_cycle_time_min,"(0.0197, 0.324]",198,0.14685136324133105,0.650829448057382,0.9040404040404041
numerical__total_cycle_time_min,"(0.324, 1.421]",198,0.7695217720713244,0.6879259347749546,0.9141414141414141
numerical__total_cycle_time_min,"(1.421, 5.134]",200,2.4233873658404823,0.4184313102886289,0.675
categorical__defect_type_none,0.0,308,0.0,0.43271931401853353,0.6623376623376623
categorical__defect_type_none,1.0,1692,1.0,0.6269660334718821,0.9148936170212766
