feature,importance,class_0_mean,class_1_mean,absolute_mean_difference
numerical__cost_usd,0.1492736265011496,0.9959132029174533,-0.14081181111302524,1.1367250140304785
numerical__defect_severity_0to3,0.1078056910333409,0.7753879152677835,-0.1096318196647701,0.8850197349325536
numerical__energy_kwh,0.0733062947711285,0.3990805309561361,-0.05642585335676068,0.4555063843128968
numerical__total_cycle_time_min,0.0729088551449034,0.44995355835878653,-0.06361877248302923,0.5135723308418157
categorical__defect_type_none,0.0610209518822335,0.5993945509586277,0.8727350549293765,0.2733405039707488
numerical__machine_age_yrs,0.0527583599624666,0.20973635233985613,-0.029654547748437343,0.23939090008829347
numerical__process_speed_units_hr,0.0408279847679818,0.10623103801415842,-0.015019968422318163,0.12125100643647659
numerical__humidity_pct,0.0397174454816073,0.010154287033300527,-0.0014357110072763537,0.011589998040576881
numerical__temp_c,0.0382159250855269,0.007021343478833457,-0.0009927452400523024,0.008014088718885759
numerical__event_hour,0.028947232828678,-0.06581982908424254,0.009306242063416091,0.07512607114765862
