feature,importance,class_0_mean,class_1_mean,class_0_median,class_1_median,absolute_mean_difference,higher_mean_class
numerical__cost_usd,0.1492736265011496,0.9959132029174533,-0.14081181111302524,-0.1595122998349419,-0.251963439424154,1.1367250140304785,Class 0
numerical__defect_severity_0to3,0.1078056910333409,0.7753879152677835,-0.1096318196647701,-0.4004164307185325,-0.4004164307185325,0.8850197349325536,Class 0
numerical__total_cycle_time_min,0.0729088551449034,0.44995355835878653,-0.06361877248302923,-0.1614268459796901,-0.284954406879101,0.5135723308418157,Class 0
numerical__energy_kwh,0.0733062947711285,0.3990805309561361,-0.05642585335676068,-0.0237174660671345,-0.187072950257664,0.4555063843128968,Class 0
categorical__defect_type_none,0.0610209518822335,0.5993945509586277,0.8727350549293765,1.0,1.0,0.2733405039707488,Class 1
numerical__machine_age_yrs,0.0527583599624666,0.20973635233985613,-0.029654547748437343,0.1657645253750714,-0.02461310836168,0.23939090008829347,Class 0
numerical__decision_rework,0.0206901058714217,0.1778303894828751,-0.02514337508596506,-0.5702293433858935,-0.5702293433858935,0.20297376456884017,Class 0
numerical__process_speed_units_hr,0.0408279847679818,0.10623103801415842,-0.015019968422318163,0.0730412390007918,-0.030766525186923,0.12125100643647659,Class 0
numerical__event_hour,0.028947232828678,-0.06581982908424254,0.009306242063416091,-0.0817086777907943,0.0627486531100573,0.07512607114765862,Class 1
categorical__defect_type_crack,0.0126208187050935,0.08678102926337034,0.023255813953488372,0.0,0.0,0.06352521530988196,Class 0
categorical__defect_type_finish,0.0129282829918861,0.08678102926337034,0.025681266942502497,0.0,0.0,0.061099762320867834,Class 0
numerical__event_month,0.0167273295292196,0.033465041634316454,-0.004731610252476708,0.0353239601763638,0.0353239601763638,0.038196651886793165,Class 0
numerical__event_day_of_week,0.0194384017049083,-0.03200648077273119,0.004525384854583653,0.0075358570790631,0.0075358570790631,0.03653186562731484,Class 1
numerical__humidity_pct,0.0397174454816073,0.010154287033300527,-0.0014357110072763537,0.0507018644808577,0.0507018644808577,0.011589998040576881,Class 0
numerical__temp_c,0.0382159250855269,0.007021343478833457,-0.0009927452400523024,-0.1199507747510731,-0.097076866522417,0.008014088718885759,Class 0
