feature,importance,true_negative_mean,false_positive_mean,absolute_difference
numerical__defect_severity_0to3,0.1078056910333409,-0.30038506830404516,1.9730179022929806,2.273402970597026
numerical__total_cycle_time_min,0.07290885514490342,-0.21710453515428163,1.468332016392938,1.6854365515472196
numerical__energy_kwh,0.07330629477112856,-0.19041991429446237,1.3257988604701316,1.516218774764594
numerical__cost_usd,0.1492736265011496,-0.22129939267195073,0.6731022937473169,0.8944016864192676
categorical__defect_type_none,0.06102095188223355,0.9431747992588018,0.15789473684210525,0.7852800624166965
numerical__machine_age_yrs,0.052758359962466674,-0.04937412769706976,0.4914615996330857,0.5408357273301555
numerical__process_speed_units_hr,0.04082798476798181,-0.00800447683198861,0.30923542310401436,0.317239899936003
numerical__temp_c,0.03821592508552695,-0.00904269594010914,0.08178677676933017,0.09082947270943931
numerical__humidity_pct,0.0397174454816073,0.02203958952823672,-0.06073286746511652,0.08277245699335324
numerical__event_hour,0.02894723282867805,-0.0007804510291683664,-0.0404351546762653,0.03965470364709694
