feature,importance,true_positive_mean,false_negative_mean,absolute_difference
numerical__cost_usd,0.1492736265011496,3.4567342389100073,-0.1896393760982302,3.6463736150082373
numerical__defect_severity_0to3,0.1078056910333409,2.516069996965723,-0.18596889927116084,2.702038896236884
numerical__total_cycle_time_min,0.07290885514490342,1.6413268912674701,-0.13733897160430514,1.7786658628717753
numerical__energy_kwh,0.07330629477112856,1.4645676773972902,-0.13374905291832664,1.598316730315617
categorical__defect_type_none,0.06102095188223355,0.022727272727272728,0.8875,0.8647727272727272
numerical__process_speed_units_hr,0.04082798476798181,0.20302779686696504,-0.04491532381539292,0.24794312068235796
numerical__machine_age_yrs,0.052758359962466674,0.2571287915657001,0.051516697629255356,0.20561209393644475
numerical__humidity_pct,0.0397174454816073,-0.10771950908844742,-0.21678618526379073,0.10906667617534331
numerical__temp_c,0.03821592508552695,0.11424685381732659,0.06661453923890348,0.04763231457842311
numerical__event_hour,0.02894723282867805,-0.1736360701822454,-0.1340744602423531,0.0395616099398923
