feature,type,required,min_observed,max_observed
machine_age_yrs,numerical,True,0.2,17.98
temp_c,numerical,True,5.0,28.1
humidity_pct,numerical,True,18.2,86.7
process_speed_units_hr,numerical,True,60.0,190.0
defect_severity_0to3,numerical,True,0.0,3.0
decision_rework,numerical,True,0.0,1.0
total_cycle_time_min,numerical,True,12.4,97.6
energy_kwh,numerical,True,0.902,2.486
cost_usd,numerical,True,10.51,164.31
plant,categorical,True,,
line,categorical,True,,
shift,categorical,True,,
machine_id,categorical,True,,
material_grade,categorical,True,,
inspection_method,categorical,True,,
defect_type,categorical,True,,
event_ts,datetime,True,,
